"Nom_de_la_commune","#Code_commune_INSEE","Code_postal","Ligne_5"
"ST ALBAN","01331","01450",
"ST ANDRE DE BAGE","01332","01380",
"ST ANDRE DE CORCY","01333","01390",
"ST ANDRE D HUIRIAT","01334","01290",
"ST ANDRE LE BOUCHOUX","01335","01240",
"ST ANDRE SUR VIEUX JONC","01336","01960",
"ST BENIGNE","01337","01190",
"GROSLEE ST BENOIT","01338","01300","GROSLEE"
"GROSLEE ST BENOIT","01338","01300","ST BENOIT"
"ST BERNARD","01339","01600",
"STE CROIX","01342","01120",
"ST CYR SUR MENTHON","01343","01380",
"ST DENIS LES BOURG","01344","01000",
"ST DENIS EN BUGEY","01345","01500",
"ST DIDIER D AUSSIAT","01346","01340",
"ST DIDIER DE FORMANS","01347","01600",
"ST DIDIER SUR CHALARONNE","01348","01140",
"ST ELOI","01349","01800",
"ST ETIENNE DU BOIS","01350","01370",
"ST ETIENNE SUR CHALARONNE","01351","01140",
"ST ETIENNE SUR REYSSOUZE","01352","01190",
"STE EUPHEMIE","01353","01600",
"ST GENIS POUILLY","01354","01630",
"ST GENIS SUR MENTHON","01355","01380",
"ST GEORGES SUR RENON","01356","01400",
"ST GERMAIN DE JOUX","01357","01130",
"ST GERMAIN LES PAROISSES","01358","01300",
"ST GERMAIN SUR RENON","01359","01240",
"ST JEAN DE GONVILLE","01360","01630",
"ST JEAN DE NIOST","01361","01800",
"ST JEAN DE THURIGNEUX","01362","01390",
"ST JEAN LE VIEUX","01363","01640",
"ST JEAN SUR REYSSOUZE","01364","01560",
"ST JEAN SUR VEYLE","01365","01290",
"STE JULIE","01366","01150",
"ST JULIEN SUR REYSSOUZE","01367","01560",
"ST JULIEN SUR VEYLE","01368","01540",
"ST JUST","01369","01250",
"ST LAURENT SUR SAONE","01370","01750",
"ST MARCEL","01371","01390",
"ST MARTIN DE BAVEL","01372","01510",
"ST MARTIN DU FRENE","01373","01430",
"ST MARTIN DU MONT","01374","01160",
"ST MARTIN LE CHATEL","01375","01310",
"ST MAURICE DE BEYNOST","01376","01700",
"ST MAURICE DE GOURDANS","01378","01800",
"ST MAURICE DE REMENS","01379","01500",
"ST NIZIER LE BOUCHOUX","01380","01560",
"ST NIZIER LE DESERT","01381","01320",
"STE OLIVE","01382","01330",
"ST PAUL DE VARAX","01383","01240",
"ST RAMBERT EN BUGEY","01384","01230",
"ST REMY","01385","01310",
"ST SORLIN EN BUGEY","01386","01150",
"ST SULPICE","01387","01340",
"ST TRIVIER DE COURTES","01388","01560",
